number,author,title,status,comment_count,reaction_count,reaction_heart_count,reaction_plusone_count,reaction_minusone_count,reaction_laugh_count,reaction_confused_count,reaction_hooray_count,created,updated,url
4276,JamieChe,wait 10 mins to have access to new created application in 1.13.x,open,2,0,0,0,0,0,0,0,2019-04-11 03:20:10 UTC,2019-04-15 18:15:21 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4276
4242,stuart-pollock,Add Create Service Key Pipeline Stage,open,2,0,0,0,0,0,0,0,2019-04-04 13:56:56 UTC,2019-04-05 16:06:25 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4242
4238,jasonjchu,CF: Concourse trigger throws a certificate error in igor,open,2,0,0,0,0,0,0,0,2019-04-03 17:58:14 UTC,2019-04-03 18:48:32 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4238
4232,dodizzle,feature(sponnet) Add parameters to jenkins job stage,open,2,0,0,0,0,0,0,0,2019-04-02 19:15:58 UTC,2019-04-03 16:01:10 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4232
4222,jfillo,feat(halyard): k8s v2 deploy should support dockerRegistry override,open,2,0,0,0,0,0,0,0,2019-04-01 16:41:45 UTC,2019-04-01 18:50:40 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4222
4166,papanito,Failed to parse kubectl output: com.google.gson.stream.MalformedJsonException,open,2,0,0,0,0,0,0,0,2019-03-21 10:36:53 UTC,2019-04-11 21:25:29 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4166
4159,stewchen,Pipeline templates do not resolve variables in child pipelines,open,2,0,0,0,0,0,0,0,2019-03-20 18:19:18 UTC,2019-03-28 16:22:57 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4159
4128,saimadineni,"Unable to create aws lambda functions ",open,2,0,0,0,0,0,0,0,2019-03-15 22:26:53 UTC,2019-03-19 04:14:37 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4128
4120,jtdawso,Bitbucket Commit trigger failing to trigger pipeline,open,2,0,0,0,0,0,0,0,2019-03-14 16:39:21 UTC,2019-04-02 19:32:34 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4120
4115,stuart-pollock,"Deploy Service Pipeline Stage Does Not Populate Persisted Data ",open,2,0,0,0,0,0,0,0,2019-03-13 19:20:36 UTC,2019-03-13 19:25:28 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4115
4109,Murodese,Unable to Deploy (Manifest) Redis 6.4.0 Chart,open,2,0,0,0,0,0,0,0,2019-03-13 04:03:28 UTC,2019-03-15 01:31:14 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4109
4054,Jammy-Louie,Add a Concourse trigger stage in spinnaker,open,2,0,0,0,0,0,0,0,2019-02-28 18:50:19 UTC,2019-04-14 19:00:20 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4054
4053,clanesf,Google Provider: Doesn't remove networks when removing account.,open,2,0,0,0,0,0,0,0,2019-02-28 05:15:55 UTC,2019-04-14 14:45:20 UTC,https://api.github.com/repos/spinnaker/spinnaker/issues/4053
